Id	Id_reconnaissance	Prenom	Nom	Localite	Genre	Precision_sur_origine	Informations_personnelles	Représente_par
367	142	Girandus	Fayni	Chalmariais	H			
377	151	Jacobus	Fayni	Chalmariais	H			
378	151						Liberis Jacobi Fayni	377
59	161	Johanes	Verilhati	Chalmariais	H		Curatus Devesseti	
353	162	Michael	Chambonaut	Chalmariais	H			
354	162	Johaneta			F		Uxor Michael Chambonaut	353
197	171	Aprila	Marconis	Chalmariais	F		Filia Johanis Marconis de Chalmariais condam	
342	181	Johanes	De Sancto Anthonio	Chalmariais	H			
343	181						Liberis Johanes de Sancto Anthonio	
299	182	Johannes	Giuilloneti	Chalmariais	H			
40	191	Johaneta	Fabii	Chalmariais	F		Uxor Guillermi Fabii de Chalmariais	
357	201	Jacobus	Chambonaut	Chalmariais	H		Filius Guillermi Jacobi condam	
371	211	Laurens	De Calma	Chalmariais	H			
372	211	Johaneta	Penarde		F		Nepos uxoris Johannis, filli Laurens de Calma	371
319	221	Thomas	Jacobi	Chalmariais	H			
320	221	Johanneta			F		Ucor Thomas Jacobi	319
298	231	Matheus	Segureti del Cosimi	Chalmariais	H			
207	241	Johaneta	Trona	Chalmariais	F			
105	251	Agnita	De Sancto Anthonio	Chalmariais	F			
321	261	Guilloneta	Marconis	Chalmariais	F		Uxor Laurentis Marsonis	
389	271	Johanes	De Chalmetis	Chalmetis	H			
379	281	Fransons	De Chalmetis	Chalmetis	H			
391	291	Peyros	De Chalmetis	Chalmetis	H	Prope Chalmariais		
113	301	Johane	Raymundi de Macello	Les Reymons	H			
219	311	Jacobus	Dens Pontetz	Pontetz	H			
283	321	Guigona	Dens Pontetz	Pontetz	F			
351	331	Girandus	De la Boscha	La Boscha	H			
352	331	Martinus	De la Boscha	La Boscha	H			
48	341	Matheus	Lo Bergeris	La Boscha	H			
195	351	Matheus	De Flachoco	La Brueyra	H			
196	351	Guigona			F		Uxor Mathei De Flachoco	195
120	361	Raymundus	Parayre	La Brueyra	H			
323	362	Peyruchonus	Paulini	La Brueyra	H			
384	422	Michael	Tanani	Dens Tenanos	H			
385	422	Johaneta			F		Nepos Michael Tanani	384
386	422	Jacineta			F		Nepos Michael Tanani	384
373	441	Johannes	De Filatrama	Filatrama	H		Filius Jacobi	
374	441	Petrus	De Filatrama		H		Frater Johannis de Filatrama	373
338	451	Vitalis	De Mundo	Del Mundo Sancti Martini	H	Parrochie de Tensano		
250	461	Johanes	De Mundo	Del Mundo Sancti Martini	H	Parrochie de Tensano		
251	471	Blancheta	Del Mont	Del Mundo Sancti Martini	F			Pro Anthonie Marse eius filiabus
252	471	Anthonia	Marse		F		Filia Blancheta Del Mont	251
133	481	Michael	De Sollemniaco	Del Mundo Sancti Martini	H			
134	481	Andiena			F		Uxor Michael de Sollemniaco	132
301	482	Johaneta	De Paulhac	Del Mundo Sancti Martini	F		Uxor Johanis Valentis de Paulhac condam	
302	482	Symundus	De Paulhac		H		Filius Johaneta de Paulhac	301
303	482	Martetus	De Paulhac		H		Filius Johaneta de Paulhac	301
304	491	Hugo	De Paulhac	Paulhac	H			
305	501	Petrus	De Paulhac	Paulhac	H		Filius Poncii de Paulhac	
306	501	Laurencius	De Paulhac		H		Frater Patri de Paulhac	305
253	511	Johanes	Pigassii 	Del Mundo Sancti Martini	H			Nomine Johanete uxoris sue + Nomine Johanis et Mathei 
254	511	Johaneta			F		Uxor Johanis Pigasii	253
255	511	Johannes	De Mundo		H		Filius Guillermi de Mundo per sancti Martini de Tensano condam	253
256	511	Matheus	De Mundo		H		Filius Guillermi de Mundo per sancti Martini de Tensano condam	253
329	521	Gregorius	Berlhonis	Masalibrant	H		Filius Johanis Berlhonis condam	
330	521	Laurentius	Berlhonis		H		Frater Gregorii Berlhonis	329
331	521	Martinus	Berlhonis		H		Frater Gregorii Berlhonis	329
282	531	Johanis	Berlhos	Masalibrant	H		Filius Armandeti Berlhos condam	
312	541	Michael	Garnerii	Masalibrant	H			
322	551	Vitalis	Garnerii	Masalibrant	H			
224	552	Johanne	Garnerii	Masalibrant	H			
375	561	Petrus	Mola	Masalibrant	H			
356	571	Perruchos	Mola	Masalibrant	H		Filius Johanis Mola de Masalibrant condam	
376	581	Gregorius	Albi	Mastortet	H		Filius emansipatus Durandi Albi Del Mastortet	
279	601	Dompninus	De Las Ruschas	Las Ruschas	H			
307	611	Petrus	De Las Ruschas	Las Ruschas	H			
308	611	Petronilla			F		Uxor Petri de Las Ruschas	307
202	621	Valentinus	De Las Ruschas	Las Ruschas	H			
212	651	Johannis	De Las Ruschas	Las Ruschas	H		Filius Johanis de Lasruschas condam	
213	651				H		Fratres Johannis de Las Ruschas	212
214	651				F		Sorores Johannis de Las Ruschas	212
315	661	Michael	De Las Ruschas	Las Ruschas	H			
345	671	Michael	Girardi	Masalibrant	H			
248	681	Petrus	Girardi	Masalibrant	H			
217	691	Benedicta	Pastre	Masalibrant	F		Filia Petri Pastre de Msalibrant condam	
218	691	Aguetis	Pastre		F		Soror Benedicta Pastre	217
156	701	Blancha	Pastre	Masalibrant	F		Filia Petri Pastre de Msalibrant condam	
155	711	Marteta	Pastre	Masalibrant	F		Filia Petri Pastre de Msalibrant condam	
203	721	Petrus	Faureti	Chanclausa	H			
69	731	Petrus	Aucelli	Chanclausa	H		Filius Guigone Aucelli	
70	731				F		Uxor Petri Aucelli	69
211	741	Guillermus	De Ponte	Chanclausa	H		Filius Vitalis de Ponte	
91	742	Guillermus	De Ponte	Chanclausa	H		Filius Vitalis de Ponte	
23	743	Aliza	De Ponte	Chanclausa	F			
24	743						Liberorum Alize de Ponte	23
127	751	Jacobus	De Molendino	Chanclausa	H		Filius Martini de Molendino de Chanclausa	
106	761	Bonafides	De Sapeto	Del Sape	H			
117	771	Matheus	Del Sape	Del Sape	H			
153	781	Petrus	Samuel de Sapeto	Del Sape	H			
154	781	Petrus	Blanchardus de Sapeto		H		Nepos Petri Samuel de Sapeto	153
87	791	Staphanis	Brossardi de Font Moreta	Chanclausa	H			
88	791				F		Uxor Stephanis Brossardi de Font Moreta	87
96	792	Johanes	Chanclausus Dorba	Chanclausa	H			
200	801	Petrus	Chalvents de Mendigolis	Mundo	H	Mendigolas, parrochie de Tensano	Matheus filius Stephani Chalment de Mendigolis	
201	801	Marheus	Chalvents de Mendigolis	Mundo	H	Mendigolas, parrochie de Tensano	Filius Petri Chalvents de Mendigolis et habens autoritatem a dicto suo patre	
194	811	Egidus	Blachonis	Masalibrant	H			
94	821	Johannes	Aucelli Dorba	Chanclausa	H	Parrochie de Chanclausa Aniciensis Diocesis		
51	822	Poncius	Pastorali Dorba	Chanclausa	H			
108	831	Johannes	Pelacuer Dorba	Chanclausa	H			
136	841	Thomas	Servienti de Chanpanhac	Chanclausa	H			
109	842	Poncius	Servienti de Chanpanhac	Chanclausa	H			
171	843	Johannes	Servienti de Chanpanhac	Chanclausa	H			
172	851	Gregorius	Servienti de Chanpanhac	Chanclausa	H			
110	852	Jacobus	Servienti de Chanpanhac	Chanclausa	H			
135	861	Guillermus	Lardayrol de Champahnac	Chanclausa	H			
52	862	Jacobus	Pelacuer Dorba	Chanclausa	H	Parrochie de Chanclausa		
204	863	Guillometa	Sama	Chanclausa	F	Parrochie de Chanclausa		
381	871	Johannes	Socherii	Podio Brunent	H			
382	871	Johannes	Sanhas de Podio Brunent	Podio Brunent	H			
383	871	Guillerma			F		Uxor et ambo Johannis Socherii	381
141	873	Jacobus	Boyronis	Chanclausa	H		Filius Guillermus Boyronis de Chanclausa condam	
142	873				H		Fratres Jacobi Boyronis	141
358	881	Matheus	Blachonis	Masalibrant	H		Filius Johannis Blachonis de Masalibrant	
359	881	Johannes	Blachonis	Masalibrant	H		Filius Johannis Blachonis de Masalibrant	
360	881	Bartholomeus	Blachonis	Masalibrant	H		Filius Johannis Blachonis de Masalibrant	
57	883	Johannes	Sanhas	Podio Brunent	H	Habite Chantilhac	Al' Cardini de Chantilhac	
318	1031	Johannes	De Malagayta	Malagayta	H		Filius Nicholaii de Malagayta condam	
339	1051	Johannes	De Malagayta	Malagayta	H		Filius Stephani de Malagayta	
340	1051				H		Fratres Johannes de Malagayta	339
215	1061	Vitalis	De Malagayta	Malagayta	H			
216	1061	Blancha			F		Uxor Vitalis de Malagayta	215
369	1071	Clemens	De Malagayta	Malagayta	H			
370	1071	Viricentius	De Malagayta		H			369
346	1081	Johannes	De Malagayta	Malagayta	H		Filius Bartholomei de Malagayta	
347	1081	Poncius			H		Amiculus Johannes de Malagayta	347
348	1081	Guillermus			H		Amiculus Johannes de Malagayta	347
349	1091	Petrus	De Malagayta	Malagayta	H		Filius Guillermi de Malagayta condam	
